sample,site,unit,dickinson,Qps,QpT,Qms,Qrv,Qrm,Qrg,Kor,Kan,Kpg,Kmi,Kp,Krg,Krm,Krv,Ps,Pmy,Ptw,Prg,Prm,Prv,As,Atw,Arg,Arm,Arv,Lcmif,Lcmir,Lcmic,Lcmich,Lcmi,Lssc,Lcsf,Lcs,Lch,Lchb,Lss,Lsp,Lvf,Lva,Lvg,Lmf1,Lmf2,Lmf3,Lmf4,Rmf5,Lmp1,Lmp2,Lmp3,Lmp4,Rmp5,Lmb1,Sed,Gra,Volc,Met,C,Ap,Gr,Hb,Px,Rt,St,Zr,Mb,Mm,Mrg,Mrm,Chl,Gl,Op,Ph,Si,AR,Bz,Sh,Das,Ech,Fc,Md,Oo,Ra,Se,Fph,Pore,provenance
JR149,Crête des Voirons 2,VS,304,38,0,175,0,0,3,39,5,1,0,0,4,0,0,5,0,0,1,0,2,0,1,0,0,0,3,3,0,0,12,1,0,0,8,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,27,5,1,0,192,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,14,1,0,0,0,1,0,0,0,0,0,37,quartzose
JR150,Crête des Voirons 3,VS,259,5,0,145,0,0,3,42,4,0,0,0,4,0,0,11,0,2,2,0,0,0,1,0,0,0,0,0,0,0,34,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,37,2,1,0,287,1,0,0,0,0,0,0,1,0,0,0,0,8,0,3,1,3,0,0,0,2,12,4,0,0,0,0,2,quartzose
JR151,Crête des Voirons 3,VS,314,16,1,192,0,0,2,14,21,0,0,0,1,0,0,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,3,quartzose
JR152,Crête des Voirons 3,VS,188,1,0,100,0,0,0,25,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,292,0,0,0,0,0,0,0,2,2,0,0,0,12,0,5,1,45,0,1,0,2,59,0,0,2,0,0,1,quartzose
JR153,Crête des Voirons 3,VS,327,5,0,228,0,0,5,39,1,1,0,0,4,0,0,16,0,0,4,0,0,0,0,0,0,0,2,0,0,0,16,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,1,0,1,112,0,0,0,0,0,0,1,1,1,0,0,0,3,1,0,0,5,0,1,0,0,4,1,0,0,0,0,9,quartzose
JR154,Saut de la Pucelle,VS,285,0,0,164,0,0,2,67,0,0,0,0,4,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37,2,1,0,308,0,0,0,0,0,0,3,3,1,0,0,0,12,1,9,2,0,0,0,0,5,2,0,0,0,0,0,4,quartzose
JR155,Saut de la Pucelle,VS,238,1,0,156,0,0,1,48,0,0,0,0,2,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,327,0,0,0,0,0,0,1,1,4,0,0,0,6,1,3,3,3,0,0,0,3,9,1,0,4,0,1,2,quartzose
JR156,Saut de la Pucelle,VS,304,23,0,194,0,0,14,2,20,6,0,0,5,0,0,22,0,0,11,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,0,0,140,0,0,0,0,0,0,0,3,1,0,0,0,4,3,3,0,2,0,1,0,4,5,7,0,1,0,0,2,quartzose
JR157,Saut de la Pucelle,VS,326,13,0,212,0,0,6,52,0,5,0,0,5,0,0,8,0,0,2,0,0,1,0,0,0,0,0,0,0,0,18,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,280,0,0,0,0,0,0,3,0,1,0,0,0,8,2,2,1,1,0,0,0,3,2,4,0,0,0,0,16,quartzose
JR158,Saut de la Pucelle,VS,321,11,0,208,10,0,3,52,0,0,0,0,5,0,0,1,0,0,0,0,8,0,1,0,0,0,0,2,0,0,16,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,243,0,0,0,0,0,0,2,2,2,0,0,0,6,0,3,3,2,0,1,0,4,3,0,0,0,0,0,6,quartzose
