################# General info,,,,,,,,,,,,,,,,,,,,,
"# article: Compositional variations in deep-sea gravity-flow deposits. A case study from the Voirons Flysch (Voirons-Wägital complex, Chablais Prealps, France)",,,,,,,,,,,,,,,,,,,,,
# journal name: Sedimentary Geology,,,,,,,,,,,,,,,,,,,,,
# author: Ragusa J and Kindler P,,,,,,,,,,,,,,,,,,,,,
# affiliation: University of Geneva,,,,,,,,,,,,,,,,,,,,,
# description: Framework composition and major statistical results of the grain-size distribution,,,,,,,,,,,,,,,,,,,,,
sample,location,unit,QFm,QFr,L,Lc,C,D,M,Glt,Other,Ph,Fc,RA,Bc,Pore,lithofacies,mean,sorting,skewness,kurtosis
JR17a,carrière supérieure de Saxel,VS,285,19,7,19,223,1,3,4,2,5,5,0.001,0.001,0.001,L5,3.43264569964002,0.677198919897054,0.19504194573168,3.05448819981543
JR18,carrière supérieure de Saxel,VC,192,120,13,3,51,0.001,11,0.001,0.001,0.001,0.001,0.001,0.001,17,L2,1.73362583581282,0.689826607398064,0.458719457591176,3.93030641812526
JR180,Crête des Voirons 7,VS,260,42,6,4,112,0.001,8,3,0.001,0.001,5,0.001,4,9,L2,2.27046973241156,0.925034786370372,-0.578750142567207,3.81817333321599
JR184,la Roche aux Corbeaux,VS,240,75,4,4,78,1,3,1,0.001,2,2,0.001,0.001,13,L2,1.21016440346476,1.0238476035243,-0.479733212365334,2.90157443503209
JR185,la Roche aux Corbeaux,VS,276,24,1,11,169,0.001,1,8,0.001,0.001,7,0.001,1,4,L2,NA,NA,NA,NA
JR186,la Roche aux Corbeaux,VS,238,70,4,2,30,0.001,7,1,0.001,0.001,0.001,0.001,0.001,1,L2,1.64433349924516,1.13550496169696,-0.131661077534352,3.37887610533537
JR187,la Roche aux Corbeaux,VS,183,73,7,4,105,0.001,1,1,3,1,6,0.001,3,7,L5,NA,NA,NA,NA
JR188,la Roche aux Corbeaux,VS,228,90,3,4,34,0.001,0.001,1,0.001,0.001,3,0.001,0.001,61,L2,1.8097730199436,0.874452885458542,-0.257030335351805,3.76077122713717
JR189,la Roche aux Corbeaux,VS,241,58,3,4,46,1,2,2,2,0.001,1,0.001,0.001,10,L2,NA,NA,NA,NA
JR19,carrière supérieure de Saxel,VC,192,82,14,12,126,0.001,3,2,1,0.001,17,1,1,7,L3,1.90610719896423,0.758569419164079,0.450457137471623,2.76848640506181
JR2,carrière de Bons,VS,303,4,6,16,226,2,4,11,7,0.001,1,0.001,0.001,0.001,L2,3.36049857791617,0.610513920387476,0.791305326053325,3.55414918050119
JR203,la Moutonnière,VS,87,30,5,12,115,0.001,3,1,0.001,1,3,82,5,6,L4,NA,NA,NA,NA
JR204,la Moutonnière,VS,262,20,7,10,209,0.001,5,3,1,0.001,1,85,5,1,L3,2.51699470872413,0.91736166427418,-0.559668767642734,3.43327916059518
JR205,la Moutonnière,VS,241,26,7,8,95,1,7,2,1,0.001,1,47,4,13,L3,NA,NA,NA,NA
JR206,la Moutonnière,VS,288,14,3,4,135,1,2,7,1,0.001,0.001,8,4,11,L3,2.68980586139759,0.942752963359724,-0.1355650285372,2.96959066848346
JR208,la Moutonnière,VS,306,5,1,1,225,1,1,5,6,0.001,1,2,0.001,4,L2,2.91991591247447,0.824465523920159,-1.28294776544098,7.05199884633992
JR20a,carrière supérieure de Saxel,VC,232,64,26,1,135,1,13,2,0.001,0.001,1,0.001,0.001,3,L2,3.20304701304776,0.593113769789825,-0.0643700584792542,3.18165190074141
JR21,carrière supérieure de Saxel,VC,199,90,11,20,126,0.001,13,6,0.001,1,12,6,3,10,L4,NA,NA,NA,NA
JR210,la Moutonnière,VS,299,5,2,1,189,0.001,2,1,1,1,2,0.001,4,12,L5,2.74737503841888,0.926274753269325,-0.0269783027328528,2.30671943954367
JR211,torrent de Curseilles,VC,142,97,6,0.001,21,0.001,1,0.001,0.001,0.001,0.001,1,0.001,6,L2,2.13022351947157,1.32535369232623,-0.157181245200014,2.97242963732559
JR212,la Moutonnière,VS,269,31,3,2,164,0.001,1,2,0.001,0.001,3,14,2,6,L3,2.44151745721738,0.867651463247484,-0.710004949687137,4.68686468960011
JR213,la Moutonnière,VS,294,8,3,11,207,2,0.001,3,0.001,0.001,5,1,3,4,L4,NA,NA,NA,NA
JR214,la Moutonnière,VS,284,27,2,7,186,5,4,10,1,0.001,3,1,1,32,L3,2.48288430726362,0.84428714777428,0.0385435129403395,3.07800340683392
JR215,la Moutonnière,VS,254,38,4,14,117,1,2,4,1,0.001,4,1,4,0.001,L5,NA,NA,NA,NA
JR216,torrent de Curseilles,VS,278,23,2,4,225,2,4,4,1,1,5,10,1,1,L4,2.89550055543247,0.971990198541948,-0.223901379231876,3.03064629282373
JR217,torrent de Curseilles,VS,288,14,3,8,218,2,1,9,0.001,4,2,1,0.001,3,L2,NA,NA,NA,NA
