################# General info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# article: Provenance analysis of the Voirons Flysch (Gurnigel nappe, Haute-Savoie, France): Stratigraphic and paleogeographic implications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# journal name: International Journal of Earth-Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# author: Ragusa J, Kindler P, Segvic B and Ospina-Ostios LM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# affiliation: University of Geneva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# description: SEM-EDS garnet geochemistry from the Voirons Flysch. Data include element and calculated oxide composition and enb-member abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample,provenance,type,confidence,O,Mg,Al,Si,Ca,Cr,Ti,Mn,Fe,Zr,Os,Gd,Dy,Pr,Tm,Tb,Te,Sm,As,Hg,Sb,Cu,C,Ru,Cs,Eu,Co,Lu,La,Cd,Ce,Ga,Ba,Pt,Nd,Zn,V,Yb,I,Rh,Nb,P,Sc,Ge,Th,Y,Pd,U,In,Ni,Hf,Cl,Ir,Au,Se,Mo,Sn,Pr.1,F,Er,Re,Ho,Ag,Bi,Tl,Sr,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,BaO,Cs2O,ZnO,Cr2O3,NiO,Almandine,Andradite,Grossular,Pyrope,Spessartine,Uvarovite
JR349,quartzose,Alm,90.15,21.94,2.39,16.31,26.92,7.81,0,0,0,36.4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.3607255145114,0,20.5277298166577,31.1925758517483,0,2.63998261742911,7.27898619965351,0,0,0,0,0,68.0529782021,1.1933638201,20.0398950406,10.7137629372,0,0
JR349,quartzose,Alm,90.55,23.11,0,15.81,23.78,6.15,0,0,2.37,40.91,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0744843434039,0,20.596172455153,36.2866623376065,2.10984046164777,0,5.93284040218893,0,0,0,0,0,76.7802242922,4.6559817543,13.4684988527,0,5.0952951008,0
JR349,quartzose,Alm,90.39,20.86,2.32,15.11,30.83,8.66,0,0,0,31.81,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.5652119307056,0,18.8584491803335,27.0313711035918,0,2.54124010619603,8.00372767917313,0,0,0,0,0,62.9175610714,0,25.7209434767,11.3614954519,0,0
JR349,quartzose,Alm,90.58,16.44,0,16.31,28.96,6.51,2,0,0,34.54,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.513203183539,0,20.6498477364332,29.7747497605779,0,0,6.10346953882708,0,0,0,1.95872978062287,0,81.2973950392,0,12.059279682,0,0,6.6433252787
JR349,quartzose,Alm,91.6,20,0,15.46,27.6,10.76,0,0,0,39.75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.228964242222,0,18.913336271542,33.109961969145,0,0,9.74773751709103,0,0,0,0,0,70.3081890825,4.9394249503,24.7523859671,0,0,0
JR349,quartzose,Alm,90.39,22.76,0,16.29,23.64,2.6,0,0,2.91,42.16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.3689466618467,0,21.5263770643908,37.9326649884693,2.62778282069371,0,2.5442284645994,0,0,0,0,0,85.9989411023,0,7.7077599423,0,6.2932989555,0
JR349,quartzose,Alm,89.26,20.1,0,15.33,28.94,8.94,0,0,2.75,35.09,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.7096369017133,0,19.0465386347516,29.6838459890041,2.33481901766244,0,8.22515945686854,0,0,0,0,0,67.9555606818,0,26.1715130564,0,5.8729262618,0
JR349,quartzose,Alm,90.64,21.37,0,16.88,26.14,7.54,0,0,2.67,42.88,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.6235071298292,0,20.317896215367,35.1417970496804,2.1961610143504,0,6.72063859077298,0,0,0,0,0,74.5632444021,4.6462652397,15.5684704376,0,5.2220199206,0
JR349,quartzose,Alm,90.39,20.12,4.42,14.81,29,11.7,0,0,0,26.09,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.1212665722423,0,18.999128824253,22.7884927945332,0,4.97642087077843,11.114690938193,0,0,0,0,0,43.9055109655,2.5087867193,32.055670853,21.5300314622,0,0
JR349,quartzose,Alm,90.3,29.95,3.58,17.65,23.75,2.23,0,0,0,33.23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.368613148752,0,24.5280645899737,31.4421189953692,0,4.3663425338988,2.29486073200622,0,0,0,0,0,76.0016545475,0,6.5802675697,17.4180778827,0,0
