################# General info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# article: Provenance analysis of the Voirons Flysch (Gurnigel nappe, Haute-Savoie, France): Stratigraphic and paleogeographic implications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# journal name: International Journal of Earth-Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# author: Ragusa J, Kindler P, Segvic B and Ospina-Ostios LM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# affiliation: University of Geneva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# description: SEM-EDS tourmaline geochemistry from the Voirons Flysch. Data include element and calculated oxide composition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample,type,confidence,O,Mg,Al,Si,Fe,Na,Ca,Ag,As,Ba,C,Cd,Co,Cr,Cs,Cu,Dy,Eu,Ga,Ge,Hf,I,Ir,K,La,Lu,Nb,Os,P,Pr,Re,Rh,Ru,Sb,Sc,Sm,Sr,Tb,Te,Th,Ti,U,V,Y,Yb,Zn,Zr
JR331,tourmaline,"93,25","29,87","7,69","33,19","29,37","6,3","3,16",0,0,0,"4,37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,tourmaline,"92,55","31,41","9,73","31,07","26,56","8,22",0,"3,6",0,0,0,0,"3,47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,tourmaline,"94,04","35,32","9,86","30,93","29,92","7,54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,schorl,"91,66","34,17","2,37","27,53","25,83","16,74",0,0,0,0,0,0,0,0,0,0,0,0,0,"4,23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,schorl,"92,17","35,9","2,18","34,66","26,46","15,39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,schorl,"93,89","37,35",0,"32,49","32,62","15,95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,19"
JR331,schorl,"93,02","37,03",0,"24,93","24,93","28,11","22,54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,schorl,"93,72","30,67","2,49","34,34","31,48","12,19","2,19","2,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,schorl,"92,45","28,93","2,7","30,69","29,88","12,31",0,0,0,0,"2,65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,schorl,"94,01","38,03",0,"32,04","29,21","16,26",0,0,0,0,0,0,0,0,0,0,"2,79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,dravite,"93,19","27,4","11,05","31,03","31,62",0,0,"2,93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,59",0,0,"4,74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,dravite,"94,71","39,33","7,8","31,72","28,67","3,68","3,12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,58"
JR331,dravite,93,"35,77","12,35","26,68","28,29",0,"3,42","3,43","2,19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR341,tourmaline,"93,39","31,73","7,09","34,67","30,54","9,75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR341,tourmaline,"93,53","28,83","6,47","37,53","27,05","9,95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,22",0,0,0
JR341,tourmaline,"93,27","43,72","4,71","31,17","30,04","4,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR341,tourmaline,"93,59","32,74","5,12","32,19","30,18","13,61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,02",0,0
JR341,tourmaline,"92,3","30,25","6,03","33,84","27,85","9,93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR341,tourmaline,"91,4","28,62","5,57","32,11","30,47","7,63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,75",0,0,0,0,0
JR341,tourmaline,"93,44","35,19","6,96","35,31","27,56","8,43","2,58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR341,tourmaline,"91,45","35,89","6,25","33,58","28,9","7,75",0,"2,12",0,0,0,"2,68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR341,tourmaline,"92,67","37,62","5,79","33,79","27,66","7,47","3,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR341,tourmaline,"91,96","31,65","6,37","32,93","31,41","8,1","4,63",0,0,0,"2,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR341,schorl,"92,45","30,46","2,35","31,83","29,68","13,67","2,28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR341,schorl,"93,28","28,7","4,09","31,14","30,55","16,35","4,31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR341,schorl,"94,63","36,14","2,79","35,45","27,98","12,43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,86",0,0,0,0,0,0,0,0,0
JR341,schorl,93,"35,58",0,"29,57","28,61","16,01",0,0,0,0,0,0,"3,47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR341,schorl,"93,08","31,7",0,"33,65","29,03","11,85",0,0,0,"2,31",0,0,0,0,0,0,0,"5,09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR341,schorl,93,"39,86",0,"33,44","25,17","14,36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR341,schorl,"93,67","36,02",0,"34,06","27,05","13,15",0,0,0,0,"2,49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR341,schorl,"91,29","33,12","3,72","28,79","26,24","12,09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,34",0,0,0,"3,32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR341,schorl,"92,76","32,91",0,"34,16","26,15","11,63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,09",0,0
JR341,schorl,"92,78","32,66",0,"31,46","26,54",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,42",0,0,0,0,0,0,0,0,"2,69",0,0,"2,72",0,0
JR341,dravite,"93,11","31,88","9,2","33,84","26,51","2,26","3,42","4,29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR341,dravite,"93,07","38,59","11,57","33,23","26,67",0,0,"2,43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR341,dravite,"93,33","35,75","8,07","35,83","26,41","2,59","3,54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,43",0,0,0,0,0,0,0,0,0,0,0,0,0
JR341,dravite,"93,7","39,17","13,25","32,18","26,28","2,46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR273,tourmaline,"92,49","36,24","6,99","31,75","28,65","11,31","2,83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR273,tourmaline,"91,99","31,89","5,52","31,72","30,65",9,0,"2,82",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR273,tourmaline,"91,89","34,09","7,51","32,87","31,58","6,52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR273,tourmaline,"93,44","39,88","9,67","33,54","27,7","5,26","3,39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR273,tourmaline,"90,74","36,65","7,3","29,03","27,37","7,99","2,24","2,43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
