############,,,,,,,,,,,,
# title: dip and azimut measurements of beds and faults in the Voirons Flysch,,,,,,,,,,,,
# author: Lina Maria Ospina-Ostios and Jérémy Ragusa,,,,,,,,,,,,
# date: 2018-02-07,,,,,,,,,,,,
# comments: please refer to the Log folder for stratigraphic logs,,,,,,,,,,,,
############,,,,,,,,,,,,
outcrop,unit,formation,member,date,bed,azimut,dip,type,lat,lon,sector,remarks
Chez Rollin stream,,Boëge Marl,,,lina,114,38,bed,,,Voirons,
Chez Rollin stream,,Boëge Marl,,,lina,129,30,bed,,,Voirons,
Chez Rollin stream,,Boëge Marl,,,lina,138,24,bed,,,Voirons,
Chez Rollin stream,,Boëge Marl,,,lina,125,28,bed,,,Voirons,
Chez Rollin stream,,Boëge Marl,,,lina,138,28,bed,,,Voirons,
Chez Rollin stream,,Boëge Marl,,,lina,137,38,bed,,,Voirons,
Chez Rollin stream,,Boëge Marl,,,lina,134,28,bed,,,Voirons,
Chez Ruffieux,,Voirons Sandstone,,,lina,100,43,bed,,,Voirons,
Chez Ruffieux,,Voirons Sandstone,,,lina,119,42,bed,,,Voirons,
Chez Ruffieux,,Voirons Sandstone,,,lina,112,41,bed,,,Voirons,
Combe Ecuer stream,,Bruant Sandstone,,,lina,308,63,bed,,,Voirons,
Combe Ecuer stream,,Bruant Sandstone,,,lina,99,39,bed,,,Voirons,
Combe Ecuer stream,,Bruant Sandstone,,,lina,103,16,bed,,,Voirons,
Combe Ecuer stream,,Bruant Sandstone,,,lina,88,32,bed,,,Voirons,
Combe Ecuer stream,,Bruant Sandstone,,,lina,98,43,bed,,,Voirons,
Combe Ecuer stream,,Bruant Sandstone,,,lina,101,45,bed,,,Voirons,reverse
Combe Ecuer stream,,Bruant Sandstone,,,lina,96,42,bed,,,Voirons,
Combe Ecuer stream,,Bruant Sandstone,,,lina,93,24,bed,,,Voirons,
Combe Ecuer stream,,Bruant Sandstone,,,lina,116,51,bed,,,Voirons,
Combe Ecuer stream,,Bruant Sandstone,,,lina,108,42,bed,,,Voirons,
Coulé aux Farnaises,,Wildflysch,,,lina,98,44,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,1,128,68,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,3,128,60,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,6,124,62,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,7,133,64,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,22,128,60,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,36,127,62,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,39,127,65,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,2011-04-20,146,122,57,bed,,,Voirons,
